NO,TRACTOR,TRAILER,TRUCK MAKE,TRUCK MODEL
99,KCF 209Q,ZF 2579,Mercedes-Benz,Axor MP2
100,KBH 669U,ZD 0775,Mercedes-Benz,Axor MP1
101,KBM 161E,ZB 5527,Mercedes-Benz,Axor MP1
102,KBR 435T,,Mercedes-Benz,Axor MP2
103,KBR 823,,Mercedes-Benz,
104,KBK 834X,ZC 2834,Mercedes-Benz,Actros MP2
105,KBQ 302,,Mercedes-Benz,Axor MP2
106,KBM 692P,ZC 1592,Mercedes-Benz,Actros MP2
107,KBP 761R,,Mercedes-Benz,Axor MP2
108,KBR 948,,Mercedes-Benz,AXOR
109,KBV 305,,Mercedes-Benz,AXOR
110,KBC 234C,ZA 7408,Mercedes-Benz,Axor MP1
111,KCF 201Q,ZF 2581,Mercedes-Benz,Axor MP2
112,KCC 136S,ZF 0016,Mercedes-Benz,Axor MP2
113,KBN 120W,ZC 8369,Mercedes-Benz,Axor MP1
114,KCD 335Q,ZF 0372,Mercedes-Benz,Axor MP2
115,KBJ 979J,ZD 0721,Mercedes-Benz,Axor MP2
116,KBR 083X,ZD 3432,Mercedes-Benz,Actros MP2
117,KBP 140H,,Mercedes-Benz,Axor MP2
118,KAY 648Y,ZC 7054,Mercedes-Benz,Actros MP1
119,KCC 132S,ZF 0012,Mercedes-Benz,Axor MP2
120,KCF 220L,ZF 0375,Mercedes-Benz,Axor MP2
121,KBR 427,,Mercedes-Benz,Axor MP2
122,KBS 098V,ZE 3631,Mercedes-Benz,Axor MP2
123,KBP 397Q,ZD 6282,Mercedes-Benz,Axor MP1
124,KCN 394N,ZD 4463,Mercedes-Benz,Axor MP2
125,KBL 986L,ZC 4088,Mercedes-Benz,Axor MP1
126,KBR 082X,ZD 4960,Mercedes-Benz,Actros MP2
127,KCF 210Q,ZF 2580,Mercedes-Benz,Axor MP2
128,KCJ 787P,ZC 4364,Mercedes-Benz,Axor MP2
129,KBW 548W,ZC 5442,Mercedes-Benz,Axor MP2
130,KBN 490P,ZB 5540,Mercedes-Benz,Axor MP1
131,KCD 340Q,ZD 0074,Mercedes-Benz,AXOR
132,KAZ  848W,ZB 9785,Mercedes-Benz,Actros MP1
133,KCC 140S,ZE 1085,Mercedes-Benz,Axor MP2
134,KCF 206Q,ZF 2576,Mercedes-Benz,Axor MP2
135,KCF 219L,ZF 1701,Mercedes-Benz,Axor MP2
136,KCJ 299R,ZF 6843,Mercedes-Benz,Axor MP2
137,KBB 788R,ZC 7414,Mercedes-Benz,Axor MP1
138,KCB 550S,ZE 9373,Mercedes-Benz,Axor MP2
139,KBP 298F,ZC 4052,Mercedes-Benz,Axor MP1
140,KBJ 208C,ZD 1460,Mercedes-Benz,Actros MP2
141,KBL 756B,ZB 6413,Mercedes-Benz,Axor MP1
142,KBQ 445Y,,Mercedes-Benz,Axor MP1
143,KBH 579J,ZB 8931,Mercedes-Benz,Axor MP1
144,KBR 423T,,Mercedes-Benz,Axor MP2
145,KCD 341Q,ZF 0376,Mercedes-Benz,Axor MP2
146,KBJ 753Z,ZD 2384,Mercedes-Benz,Axor MP1
147,KBV 359E,ZE 3549,Mercedes-Benz,Axor MP2
148,KBL 450L,,Mercedes-Benz,Axor MP1
150,KBR 081X,ZD 2177,Mercedes-Benz,Actros MP2
151,KBR 256V,ZD 9041,Mercedes-Benz,Axor MP2
